Ticker,Date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Expenses,Operating Income,Interest Expense,Earning before Tax,Income Tax Expense,Income Tax Expense,Net Income,EPS,EPS Diluted,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margins,Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,Earnings Before Tax Margin,Net Profit Margin
MS,2018-12-31,40107000000.0,0.057,0.0,40107000000.0,0.0,23995000000.0,28870000000.0,11237000000.0,0.0,11098000000.0,2350000000.0,2350000000.0,8748000000.0,4.81,4.73,1.1,1.0,0.323,0.2767,0.205,0.1356,12942000000.0,11098000000.0,0.2767,0.2181
MS,2017-12-31,37945000000.0,0.0957,0.0,37945000000.0,0.0,23064000000.0,27542000000.0,10403000000.0,0.0,10279000000.0,4168000000.0,4168000000.0,6111000000.0,3.14,3.07,0.9,1.0,0.317,0.2709,0.147,-0.1617,12032000000.0,10279000000.0,0.2709,0.161
MS,2016-12-31,34631000000.0,-0.0149,0.0,34631000000.0,0.0,21688000000.0,25783000000.0,8848000000.0,0.0,8705000000.0,2726000000.0,2726000000.0,5979000000.0,2.98,2.92,0.7,1.0,0.301,0.2514,0.159,0.1186,10441000000.0,8705000000.0,0.2514,0.1726
MS,2015-12-31,35155000000.0,0.0257,0.0,35155000000.0,0.0,22144000000.0,26660000000.0,8495000000.0,0.0,8327000000.0,2200000000.0,2200000000.0,6127000000.0,2.97,2.9,0.55,1.0,0.278,0.2369,0.161,-0.166,9760000000.0,8327000000.0,0.2369,0.1743
MS,2014-12-31,34275000000.0,0.0548,0.0,34275000000.0,0.0,23667000000.0,30684000000.0,3591000000.0,0.0,3377000000.0,-90000000.0,-90000000.0,3467000000.0,1.64,1.6,0.35,1.0,0.132,0.0985,0.092,0.0027,4538000000.0,3377000000.0,0.0985,0.1012
MS,2013-12-31,32493000000.0,0.2412,0.0,32493000000.0,0.0,22076000000.0,27935000000.0,4558000000.0,0.0,3834000000.0,902000000.0,902000000.0,2932000000.0,1.39,1.36,0.2,1.0,0.164,0.118,0.082,1.0369,5345000000.0,3834000000.0,0.118,0.0902
MS,2012-12-31,26178000000.0,-0.1877,0.0,26178000000.0,0.0,21593000000.0,25582000000.0,596000000.0,0.0,-93000000.0,-161000000.0,-161000000.0,68000000.0,-0.02,-0.02,0.15,1.0,0.057,-0.0036,-0.001,0.8957,1488000000.0,-93000000.0,-0.0036,0.0026
MS,2011-12-31,32227000000.0,0.0319,0.0,32227000000.0,0.0,22064000000.0,26117000000.0,6110000000.0,0.0,5524000000.0,1414000000.0,1414000000.0,4110000000.0,1.25,1.23,0.2,1.0,0.215,0.1714,0.064,0.4368,6928000000.0,5524000000.0,0.1714,0.1275
MS,2010-12-31,31230000000.0,0.3415,0.0,31230000000.0,0.0,21434000000.0,25032000000.0,6198000000.0,0.0,5446000000.0,743000000.0,743000000.0,4703000000.0,2.64,2.63,0.2,1.0,0.22,0.1744,0.115,1.262,6865000000.0,5446000000.0,0.1744,0.1506
MS,2009-12-31,23280000000.0,-0.059,0.0,23280000000.0,0.0,19311000000.0,22150000000.0,1130000000.0,0.0,1049000000.0,-297000000.0,-297000000.0,1346000000.0,-0.77,-0.77,0.437,1.0,0.098,0.0451,-0.039,-2.0974,2273000000.0,1049000000.0,0.0451,0.0578
