Ticker,Date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Expenses,Operating Income,Interest Expense,Earning before Tax,Income Tax Expense,Income Tax Expense,Net Income,EPS,EPS Diluted,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margins,Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,Earnings Before Tax Margin,Net Profit Margin
MSFT,2018-06-30,110360000000.0,0.1428,38353000000.0,72007000000.0,14726000000.0,22223000000.0,36949000000.0,35058000000.0,0.0,36474000000.0,19903000000.0,19903000000.0,16571000000.0,2.15,2.13,1.65,0.6525,0.423,0.3305,0.15,0.2922,46735000000.0,36474000000.0,0.3305,0.1502
MSFT,2017-06-30,96571000000.0,0.0594,34261000000.0,62310000000.0,13037000000.0,19942000000.0,33285000000.0,29025000000.0,0.0,29901000000.0,4412000000.0,4412000000.0,25489000000.0,3.29,3.25,1.53,0.6452,0.401,0.3096,0.264,0.3249,38679000000.0,29901000000.0,0.3096,0.2639
MSFT,2016-06-30,91154000000.0,-0.0259,32780000000.0,58374000000.0,11988000000.0,19198000000.0,32296000000.0,26078000000.0,0.0,25639000000.0,5100000000.0,5100000000.0,20539000000.0,2.59,2.56,1.39,0.6404,0.354,0.2813,0.225,0.2741,32261000000.0,25639000000.0,0.2813,0.2253
MSFT,2015-06-30,93580000000.0,0.0777,33038000000.0,60542000000.0,12046000000.0,20324000000.0,42381000000.0,18161000000.0,0.0,18507000000.0,6314000000.0,6314000000.0,12193000000.0,1.49,1.48,1.21,0.647,0.261,0.1978,0.13,0.2535,24464000000.0,18507000000.0,0.1978,0.1303
MSFT,2014-06-30,86833000000.0,0.1154,27078000000.0,59755000000.0,11381000000.0,20488000000.0,31996000000.0,27759000000.0,0.0,27820000000.0,5746000000.0,5746000000.0,22074000000.0,2.66,2.63,1.07,0.6882,0.38,0.3204,0.254,0.3111,33032000000.0,27820000000.0,0.3204,0.2542
MSFT,2013-06-30,77849000000.0,0.056,20385000000.0,57464000000.0,10411000000.0,20289000000.0,30700000000.0,26764000000.0,0.0,27052000000.0,5189000000.0,5189000000.0,21863000000.0,2.61,2.58,0.89,0.7381,0.396,0.3475,0.281,0.3157,30807000000.0,27052000000.0,0.3475,0.2808
MSFT,2012-06-30,73723000000.0,0.054,17530000000.0,56193000000.0,9811000000.0,18426000000.0,34430000000.0,21763000000.0,0.0,22267000000.0,5289000000.0,5289000000.0,16978000000.0,2.02,2.0,0.76,0.7622,0.342,0.302,0.23,0.3977,25234000000.0,22267000000.0,0.302,0.2303
MSFT,2011-06-30,69943000000.0,0.1194,15577000000.0,54366000000.0,9043000000.0,18162000000.0,27205000000.0,27161000000.0,0.0,28071000000.0,4921000000.0,4921000000.0,23150000000.0,2.73,2.69,0.61,0.7773,0.441,0.4013,0.331,0.3523,30837000000.0,28071000000.0,0.4013,0.331
MSFT,2010-06-30,62484000000.0,0.0693,12395000000.0,50089000000.0,8714000000.0,17277000000.0,25991000000.0,24098000000.0,0.0,25013000000.0,6253000000.0,6253000000.0,18760000000.0,2.13,2.1,0.52,0.8016,0.443,0.4003,0.3,0.3536,27686000000.0,25013000000.0,0.4003,0.3002
MSFT,2009-06-30,58437000000.0,-0.0328,12155000000.0,46282000000.0,9010000000.0,16909000000.0,25919000000.0,20363000000.0,0.0,19821000000.0,5252000000.0,5252000000.0,14569000000.0,1.63,1.62,0.5,0.792,0.383,0.3392,0.249,0.2724,22383000000.0,19821000000.0,0.3392,0.2493
