Ticker,Date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Expenses,Operating Income,Interest Expense,Earning before Tax,Income Tax Expense,Income Tax Expense,Net Income,EPS,EPS Diluted,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margins,Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,Earnings Before Tax Margin,Net Profit Margin
RBS,2018-12-31,17007614213.198,-0.0417,0.0,17007614213.198,0.0,11265228426.3959,12744923857.868,4262690355.3299,0.0,3676395939.0863,1618020304.5685,1618020304.5685,2058375634.5178,0.3426,0.3401,0.0647,1.0,0.3426,0.2162,0.1091,-0.0435,4587563451.7766,3676395939.0863,0.2162,0.121
RBS,2017-12-31,17747297297.2973,0.1418,0.0,17747297297.2973,0.0,12924324324.3243,14721621621.6216,3025675675.6757,0.0,2129729729.7297,1113513513.5135,1113513513.5135,1016216216.2162,0.1703,0.1703,0.0,1.0,0.2405,0.12,0.0122,2.8945,3159459459.4595,2129729729.7297,0.12,0.0573
RBS,2016-12-31,15543209876.5432,-0.1845,0.0,15543209876.5432,0.0,18835802469.1358,20582716049.3827,-5039506172.8395,0.0,-7146913580.2469,1439506172.8395,1439506172.8395,-8586419753.0864,-1.4691,-1.4691,0.0,1.0,-0.4778,-0.4598,-0.8481,-0.3268,-6012345679.0123,-7146913580.2469,-0.4598,-0.5524
RBS,2015-12-31,19060471976.4012,-0.1923,0.0,19060471976.4012,0.0,20414454277.2861,24119469026.5487,-5058997050.1475,0.0,-2884955752.2124,33923303.8348,33923303.8348,-2918879056.0472,-0.8171,-0.8171,0.0,1.0,-0.2227,-0.1514,-0.2699,0.1213,-2884955752.2124,-2884955752.2124,-0.1514,-0.1531
RBS,2014-12-31,23598130841.1215,-0.1484,0.0,23598130841.1215,0.0,19323987538.9408,21587227414.3302,2010903426.7913,0.0,-2431464174.4548,2973520249.2212,2973520249.2212,-5404984423.676,-0.9533,-0.9533,0.0,1.0,-0.1604,-0.103,-0.4283,-1.3228,-2431464174.4548,-2431464174.4548,-0.103,-0.229
RBS,2013-12-31,27710264900.6623,0.16,0.0,27710264900.6623,0.0,24529801324.5033,28917218543.0464,-1206953642.3841,0.0,-14584437086.0927,307947019.8675,307947019.8675,-14892384105.9603,-2.6589,-2.6589,0.0,1.0,-0.8709,-0.5263,-0.9288,-1.781,-14584437086.0927,-14584437086.0927,-0.5263,-0.5374
RBS,2012-12-31,23887987012.987,-0.3759,0.0,23887987012.987,0.0,22775974025.974,25579545454.5455,-1691558441.5584,0.0,-9087662337.6623,253246753.2468,253246753.2468,-9340909090.9091,-1.7857,-1.7857,0.0,1.0,-0.4123,-0.3804,-0.6672,-3.0161,-6077922077.9221,-9087662337.6623,-0.3804,-0.391
RBS,2011-12-31,38277950310.559,-0.0769,0.0,38277950310.559,0.0,23945652173.913,40445652173.913,-2167701863.354,0.0,-1670807453.4161,1669254658.3851,1669254658.3851,-3340062111.8012,-0.618,-0.618,0.0,1.0,0.0497,-0.0436,-0.1351,0.0687,1240683229.8137,-1670807453.4161,-0.0436,-0.0873
RBS,2010-12-31,41467289719.6262,-0.224,0.0,41467289719.6262,0.0,23878504672.8972,41574766355.1402,-107476635.514,0.0,-464174454.8287,1095015576.324,1095015576.324,-1559190031.1526,-0.1495,-0.1495,0.0,1.0,0.1121,-0.0112,-0.0654,0.7208,2993769470.405,-464174454.8287,-0.0112,-0.0376
RBS,2009-12-31,53440129449.8382,0.7659,0.0,53440129449.8382,0.0,27566343042.0712,50673139158.5761,2766990291.2621,0.0,-5017799352.7508,-694174757.2816,-694174757.2816,-4323624595.4693,-2.0712,-2.0712,0.0,1.0,-0.0146,-0.0939,-0.1764,-0.1194,-472491909.3851,-5017799352.7508,-0.0939,-0.0809
