Ticker,Date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Expenses,Operating Income,Interest Expense,Earning before Tax,Income Tax Expense,Income Tax Expense,Net Income,EPS,EPS Diluted,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margins,Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,Earnings Before Tax Margin,Net Profit Margin
CMCSA,2018-12-31,94507000000.0,0.1115,0.0,94507000000.0,0.0,64822000000.0,75498000000.0,19009000000.0,3542000000.0,15111000000.0,3380000000.0,3380000000.0,11731000000.0,2.56,2.53,0.917,1.0,0.31,0.1974,0.124,0.1268,29329000000.0,18653000000.0,0.1599,0.1241
CMCSA,2017-12-31,85029000000.0,0.0532,0.0,85029000000.0,0.0,57323000000.0,67011000000.0,18018000000.0,3086000000.0,15166000000.0,-7569000000.0,-7569000000.0,22735000000.0,4.83,4.75,0.473,1.0,0.329,0.2147,0.267,0.1131,27940000000.0,18252000000.0,0.1784,0.2674
CMCSA,2016-12-31,80736000000.0,0.0836,0.0,80736000000.0,0.0,54479000000.0,63905000000.0,16831000000.0,2942000000.0,13976000000.0,5298000000.0,5298000000.0,8678000000.0,1.8,1.78,0.675,1.0,0.326,0.2095,0.107,0.106,26344000000.0,16918000000.0,0.1731,0.1075
CMCSA,2015-12-31,74510000000.0,0.0834,0.0,74510000000.0,0.0,49832000000.0,58512000000.0,15998000000.0,2702000000.0,13122000000.0,4959000000.0,4959000000.0,8163000000.0,1.64,1.62,0.487,1.0,0.329,0.2124,0.11,0.1267,24504000000.0,15824000000.0,0.1761,0.1096
CMCSA,2014-12-31,68775000000.0,0.0637,0.0,68775000000.0,0.0,45852000000.0,53871000000.0,14904000000.0,2617000000.0,12253000000.0,3873000000.0,3873000000.0,8380000000.0,1.62,1.6,0.338,1.0,0.333,0.2162,0.122,0.1216,22889000000.0,14870000000.0,0.1782,0.1218
CMCSA,2013-12-31,64657000000.0,0.0334,0.0,64657000000.0,0.0,43223000000.0,51094000000.0,13563000000.0,2574000000.0,10796000000.0,3980000000.0,3980000000.0,6816000000.0,1.3,1.28,0.39,1.0,0.329,0.2068,0.105,0.0719,21241000000.0,13370000000.0,0.167,0.1054
CMCSA,2012-12-31,62570000000.0,0.1205,0.0,62570000000.0,0.0,42593000000.0,50391000000.0,12179000000.0,2521000000.0,9947000000.0,3744000000.0,3744000000.0,6203000000.0,1.16,1.14,0.325,1.0,0.324,0.1993,0.099,0.1313,20266000000.0,12468000000.0,0.159,0.0991
CMCSA,2011-12-31,55842000000.0,0.472,0.0,55842000000.0,0.0,37485000000.0,45121000000.0,10721000000.0,2505000000.0,7210000000.0,3050000000.0,3050000000.0,4160000000.0,0.755,0.75,0.272,1.0,0.311,0.174,0.074,0.1448,17351000000.0,9715000000.0,0.1291,0.0745
CMCSA,2010-12-31,37937000000.0,0.061,0.0,37937000000.0,0.0,23341000000.0,29957000000.0,7980000000.0,2156000000.0,6071000000.0,2436000000.0,2436000000.0,3635000000.0,0.645,0.645,0.189,1.0,0.391,0.2169,0.096,0.1498,14843000000.0,8227000000.0,0.16,0.0958
CMCSA,2009-12-31,35756000000.0,0.0387,0.0,35756000000.0,0.0,22042000000.0,28542000000.0,7214000000.0,2348000000.0,5116000000.0,1478000000.0,1478000000.0,3638000000.0,0.635,0.63,0.133,1.0,0.391,0.2087,0.102,0.1298,13964000000.0,7464000000.0,0.1431,0.1017
