Ticker,Date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Expenses,Operating Income,Interest Expense,Earning before Tax,Income Tax Expense,Income Tax Expense,Net Income,EPS,EPS Diluted,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margins,Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,Earnings Before Tax Margin,Net Profit Margin
GE,2018-12-31,121615000000.0,0.0285,95461000000.0,26154000000.0,0.0,18111000000.0,40711000000.0,-14557000000.0,5059000000.0,-21772000000.0,583000000.0,583000000.0,-22355000000.0,-2.62,-2.62,0.37,0.2151,-0.07,-0.1374,-0.187,0.0058,-8489000000.0,-16713000000.0,-0.179,-0.1838
GE,2017-12-31,118243000000.0,-0.0103,103051000000.0,15192000000.0,0.0,17569000000.0,21201000000.0,-6009000000.0,4869000000.0,-11095000000.0,-2611000000.0,-2611000000.0,-8484000000.0,-1.03,-1.03,0.84,0.1285,0.01,-0.0527,-0.075,0.0326,1203000000.0,-6226000000.0,-0.0938,-0.0718
GE,2016-12-31,119469000000.0,0.0177,90449000000.0,29020000000.0,0.0,17756000000.0,18738000000.0,10282000000.0,5025000000.0,6367000000.0,-1133000000.0,-1133000000.0,7500000000.0,0.76,0.75,0.93,0.2429,0.155,0.0954,0.057,-0.0198,18462000000.0,11392000000.0,0.0533,0.0628
GE,2015-12-31,117386000000.0,0.0017,85298000000.0,32088000000.0,0.0,17831000000.0,20439000000.0,11649000000.0,3463000000.0,359000000.0,6485000000.0,6485000000.0,-6126000000.0,-0.62,-0.61,0.92,0.2734,0.074,0.0326,-0.052,0.1263,8669000000.0,3822000000.0,0.0031,-0.0522
GE,2014-12-31,117184000000.0,0.0348,86234000000.0,30950000000.0,0.0,16848000000.0,17963000000.0,12987000000.0,2723000000.0,16006000000.0,773000000.0,773000000.0,15233000000.0,1.51,1.5,0.89,0.2641,0.202,0.1598,0.13,0.2005,23682000000.0,18729000000.0,0.1366,0.13
GE,2013-12-31,113245000000.0,-0.228,82502000000.0,30743000000.0,0.0,17945000000.0,18773000000.0,11970000000.0,2870000000.0,14276000000.0,1219000000.0,1219000000.0,13057000000.0,1.28,1.27,0.79,0.2715,0.197,0.1514,0.115,0.2161,22348000000.0,17146000000.0,0.1261,0.1153
GE,2012-12-31,146684000000.0,0.001,80999000000.0,65685000000.0,0.0,0.0,35897000000.0,29788000000.0,12407000000.0,16175000000.0,2534000000.0,2534000000.0,13641000000.0,1.29,1.29,0.7,0.4478,0.258,0.1949,0.093,0.1527,37774000000.0,28582000000.0,0.1103,0.093
GE,2011-12-31,146542000000.0,-0.0202,75120000000.0,71422000000.0,0.0,0.0,36841000000.0,34581000000.0,14422000000.0,19896000000.0,5745000000.0,5745000000.0,14151000000.0,1.24,1.23,0.61,0.4874,0.296,0.2342,0.09,0.1814,43304000000.0,34318000000.0,0.1358,0.0966
GE,2010-12-31,149567000000.0,-0.0315,81810000000.0,67757000000.0,0.0,0.0,38033000000.0,29724000000.0,15537000000.0,12683000000.0,1039000000.0,1039000000.0,11644000000.0,1.06,1.06,0.46,0.453,0.254,0.1887,0.076,0.2242,38006000000.0,28220000000.0,0.0848,0.0779
GE,2009-12-31,154438000000.0,-0.1495,89523000000.0,64915000000.0,0.0,0.0,37354000000.0,27561000000.0,17697000000.0,9883000000.0,-1142000000.0,-1142000000.0,11025000000.0,1.01,1.01,0.61,0.4203,0.247,0.1786,0.069,0.1441,38197000000.0,27580000000.0,0.064,0.0714
