Ticker,Date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Expenses,Operating Income,Interest Expense,Earning before Tax,Income Tax Expense,Income Tax Expense,Net Income,EPS,EPS Diluted,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margins,Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,Earnings Before Tax Margin,Net Profit Margin
DIS,2018-09-29,59434000000.0,0.0779,32726000000.0,26708000000.0,0.0,8860000000.0,11904000000.0,14804000000.0,574000000.0,14261000000.0,1663000000.0,1663000000.0,12598000000.0,8.4,8.36,1.68,0.4494,0.3,0.2496,0.212,0.1654,17846000000.0,14835000000.0,0.2399,0.212
DIS,2017-09-30,55137000000.0,-0.0089,30306000000.0,24831000000.0,0.0,8176000000.0,11056000000.0,13775000000.0,385000000.0,13402000000.0,4422000000.0,4422000000.0,8980000000.0,5.73,5.69,1.56,0.4504,0.301,0.25,0.163,0.1582,16569000000.0,13787000000.0,0.2431,0.1629
DIS,2016-10-01,55632000000.0,0.0604,29993000000.0,25639000000.0,0.0,8754000000.0,11437000000.0,14202000000.0,260000000.0,14469000000.0,5078000000.0,5078000000.0,9391000000.0,5.76,5.73,1.42,0.4609,0.31,0.2648,0.169,0.1503,17256000000.0,14729000000.0,0.2601,0.1688
DIS,2015-10-03,52465000000.0,0.0748,28364000000.0,24101000000.0,0.0,8523000000.0,10930000000.0,13171000000.0,117000000.0,13398000000.0,5016000000.0,5016000000.0,8382000000.0,4.95,4.9,1.81,0.4594,0.302,0.2576,0.16,0.1357,15869000000.0,13515000000.0,0.2554,0.1598
DIS,2014-09-27,48813000000.0,0.0837,26420000000.0,22393000000.0,0.0,8565000000.0,10993000000.0,11400000000.0,-23000000.0,11743000000.0,4242000000.0,4242000000.0,7501000000.0,4.31,4.26,0.86,0.4588,0.287,0.2401,0.154,0.1325,14008000000.0,11720000000.0,0.2406,0.1537
DIS,2013-09-28,45041000000.0,0.0654,25034000000.0,20007000000.0,0.0,8365000000.0,10771000000.0,9236000000.0,235000000.0,9120000000.0,2984000000.0,2984000000.0,6136000000.0,3.42,3.38,0.75,0.4442,0.256,0.2077,0.136,0.1478,11547000000.0,9355000000.0,0.2025,0.1362
DIS,2012-09-29,42278000000.0,0.0339,23468000000.0,18810000000.0,0.0,7960000000.0,10047000000.0,8763000000.0,369000000.0,8769000000.0,3087000000.0,3087000000.0,5682000000.0,3.17,3.13,0.6,0.4449,0.263,0.2161,0.134,0.0989,11125000000.0,9138000000.0,0.2074,0.1344
DIS,2011-10-01,40893000000.0,0.0744,0.0,40893000000.0,0.0,0.0,33167000000.0,7726000000.0,343000000.0,7592000000.0,2785000000.0,2785000000.0,4807000000.0,2.56,2.52,0.4,1.0,0.239,0.194,0.118,0.084,9776000000.0,7935000000.0,0.1857,0.1176
DIS,2010-10-02,38063000000.0,0.0529,0.0,38063000000.0,0.0,0.0,31607000000.0,6456000000.0,409000000.0,6277000000.0,2314000000.0,2314000000.0,3963000000.0,2.07,2.03,0.35,1.0,0.221,0.1757,0.104,0.1174,8399000000.0,6686000000.0,0.1649,0.1041
DIS,2009-10-03,36149000000.0,-0.0448,0.0,36149000000.0,0.0,0.0,30944000000.0,5205000000.0,466000000.0,5356000000.0,2049000000.0,2049000000.0,3307000000.0,1.78,1.76,0.35,1.0,0.206,0.1611,0.091,0.0986,7453000000.0,5822000000.0,0.1482,0.0915
